mpg,cylinders,horsepower,weight,age,origin_japan,origin_usa
29.0,4,84.0,2525,42,0,1
27.0,4,90.0,2735,42,0,1
24.0,4,92.0,2865,42,0,1
36.0,4,74.0,1980,42,0,0
37.0,4,68.0,2025,42,1,0
31.0,4,68.0,1970,42,1,0
38.0,4,63.0,2125,42,0,1
36.0,4,70.0,2125,42,0,1
36.0,4,88.0,2160,42,1,0
36.0,4,75.0,2205,42,1,0
34.0,4,70.0,2245,42,1,0
38.0,4,67.0,1965,42,1,0
32.0,4,67.0,1965,42,1,0
38.0,4,67.0,1995,42,1,0
25.0,6,110.0,2945,42,0,1
38.0,6,85.0,3015,42,0,1
26.0,4,92.0,2585,42,0,1
22.0,6,112.0,2835,42,0,1
32.0,4,96.0,2665,42,1,0
36.0,4,84.0,2370,42,0,1
27.0,4,90.0,2950,42,0,1
27.0,4,86.0,2790,42,0,1
44.0,4,52.0,2130,42,0,0
32.0,4,84.0,2295,42,0,1
28.0,4,79.0,2625,42,0,1
31.0,4,82.0,2720,42,0,1
